,1,2야드중조공장,2,4,선각공장,5,2야드가공공장,3,6,판넬선각공장,7,2야드판넬,8,2야드 대조립,12,대조립2공장,대조립1공장,11,10,9,13,B,20,A,14,해양제관공장,15,19,선실공장,21,선행의장3공장쉘터,선행의장2공장쉘터,선행의장1공장쉘터,38,39,도장2공장,22,40,18,23,C,도장1공장,37,17,36,24,F,8도크,G,9도크,D,35,도장3공장,25,33,34,E,26,도장4공장,32,31,30,29,16,28,선대PE,27,2도크PE,1도크PE,1_2_도크,3도크PE,3도크
1,[],"[[1, 1]]","[[1, 1], [2, 1]]","[[1, 1], [2, 1], [3, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1]]","[[1, 1], [2, 1], [3, 1], [8, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [9, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [9, 1], [10, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1]]","[[1, 1], [2, 1], [3, 1], [8, 1], [13, 1]]","[[1, 1], [2, 1], [3, 1], [8, 1], [13, 1], [16, 1], [15, 1], [14, 1]]","[[1, 1], [2, 1], [3, 1], [8, 1], [13, 1], [16, 1], [15, 1]]","[[1, 1], [2, 1], [3, 1], [8, 1], [13, 1], [16, 1]]","[[1, 1], [2, 1], [3, 1], [8, 1], [13, 1], [16, 1], [15, 1], [14, 1], [17, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [9, 1], [10, 1], [18, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [9, 1], [10, 1], [18, 1], [20, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1]]","[[1, 1], [2, 1], [3, 1], [8, 1], [13, 1], [16, 1], [15, 1], [14, 1], [17, 1], [28, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [30, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [30, 1], [31, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [37, 1], [36, 1], [35, 1], [34, 1], [33, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [37, 1], [36, 1], [35, 1], [34, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [37, 1], [36, 1], [35, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [37, 1], [36, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [37, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [44, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [30, 1], [31, 1], [51, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [54, 1], [57, 1], [60, 1], [59, 1], [58, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [54, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [55, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [54, 1], [57, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [54, 1], [57, 1], [60, 1], [59, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [54, 1], [57, 1], [60, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [65, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [65, 1], [67, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [54, 1], [68, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [72, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [72, 1], [73, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [72, 1], [73, 1], [76, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [72, 1], [73, 1], [76, 1], [77, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1], [87, 1], [86, 1], [85, 1], [81, 1], [79, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1], [87, 1], [86, 1], [85, 1], [81, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1], [87, 1], [86, 1], [85, 1], [81, 1], [80, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1], [87, 1], [86, 1], [85, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1], [87, 1], [86, 1]]","[[1, 1], [2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1], [87, 1]]"
2야드중조공장,"[[1, 1]]",[],"[[2, 1]]","[[2, 1], [3, 1]]","[[2, 1], [3, 1], [4, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1]]","[[2, 1], [3, 1], [8, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [9, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [9, 1], [10, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1]]","[[2, 1], [3, 1], [8, 1], [13, 1]]","[[2, 1], [3, 1], [8, 1], [13, 1], [16, 1], [15, 1], [14, 1]]","[[2, 1], [3, 1], [8, 1], [13, 1], [16, 1], [15, 1]]","[[2, 1], [3, 1], [8, 1], [13, 1], [16, 1]]","[[2, 1], [3, 1], [8, 1], [13, 1], [16, 1], [15, 1], [14, 1], [17, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [9, 1], [10, 1], [18, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [9, 1], [10, 1], [18, 1], [20, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1]]","[[2, 1], [3, 1], [8, 1], [13, 1], [16, 1], [15, 1], [14, 1], [17, 1], [28, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [30, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [30, 1], [31, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [37, 1], [36, 1], [35, 1], [34, 1], [33, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [37, 1], [36, 1], [35, 1], [34, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [37, 1], [36, 1], [35, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [37, 1], [36, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [37, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [44, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [23, 1], [24, 1], [30, 1], [31, 1], [51, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [54, 1], [57, 1], [60, 1], [59, 1], [58, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [54, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [55, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [54, 1], [57, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [54, 1], [57, 1], [60, 1], [59, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [54, 1], [57, 1], [60, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [65, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [65, 1], [67, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [21, 1], [22, 1], [39, 1], [40, 1], [41, 1], [61, 1], [63, 1], [62, 1], [64, 1], [54, 1], [68, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [72, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [72, 1], [73, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [72, 1], [73, 1], [76, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [72, 1], [73, 1], [76, 1], [77, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1], [87, 1], [86, 1], [85, 1], [81, 1], [79, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1], [87, 1], [86, 1], [85, 1], [81, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1], [87, 1], [86, 1], [85, 1], [81, 1], [80, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1], [87, 1], [86, 1], [85, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1], [87, 1], [86, 1]]","[[2, 1], [3, 1], [4, 1], [5, 1], [6, 1], [7, 1], [11, 1], [12, 1], [19, 1], [38, 1], [42, 1], [49, 1], [48, 1], [47, 1], [69, 1], [70, 1], [88, 1], [82, 1], [83, 1], [84, 1], [87, 1]]"
